,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,test 1_numeric,test 2_numeric,test 3_numeric,ind cw_numeric,group cw_numeric,final grade_numeric,attendance_rate,forum_engagement,engagement_score,engagement_level
20,0,first,5,24,D,36.0,51.0,D,64.0,C,33.0,C,B,D,23,7,8,0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,30,0.8692671394799054,very low
21,1,second,1,60,A,17.0,31.0,D,46.0,D,,,,,4,3,0,1,4.0,1.0,1.0,,,,0.8333333333333334,7,0.4613475177304965,very low
22,1,third,44,58,C,68.0,41.0,B,10.0,F,11.0,B,A,F,14,22,1,0,2.0,3.0,0.0,3.0,4.0,0.0,1.0,36,0.7520094562647754,very low
23,1,third,15,24,D,35.0,62.0,B,51.0,D,,,,,1,3,0,1,1.0,3.0,1.0,,,,0.8333333333333334,4,0.4421985815602837,very low
24,0,first,9,11,D,31.0,46.0,C,78.0,C,35.0,C,A,B,3,12,5,0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,15,0.706855791962175,very low
25,1,first,2,18,A,4.0,83.0,F,19.0,D,29.0,D,B,D,12,6,0,1,4.0,0.0,1.0,1.0,3.0,1.0,1.0,18,0.6148936170212767,very low
26,0,second,21,99,A,73.0,43.0,A,56.0,D,,,,,11,1,1,1,4.0,4.0,1.0,,,,0.8333333333333334,12,0.51548463356974,very low
27,1,second,18,6,D,43.0,35.0,B,94.0,C,74.0,C,A,C,23,12,7,0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,35,0.8789598108747044,very low
28,1,first,92,54,D,68.0,82.0,D,,,,,,,2,1,0,1,1.0,1.0,,,,,0.6666666666666666,3,0.35248226950354605,very low
29,1,first,15,39,A,89.0,83.0,C,48.0,F,,,,,9,4,0,1,4.0,2.0,0.0,,,,0.8333333333333334,13,0.499645390070922,very low
30,1,second,58,46,A,66.0,11.0,F,,,,,,,1,0,1,1,4.0,0.0,,,,,0.6666666666666666,1,0.3619385342789598,very low
31,1,first,13,25,D,35.0,39.0,C,47.0,D,47.0,D,B,B,10,11,8,0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,21,0.8118203309692672,very low
32,1,first,22,69,F,66.0,54.0,C,14.0,A,67.0,F,F,B,17,5,5,0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,22,0.7515366430260048,very low
33,0,third,1,6,A,3.0,39.0,A,33.0,A,22.0,A,F,C,2,2,2,0,4.0,4.0,4.0,4.0,0.0,2.0,1.0,4,0.5699763593380615,very low
34,0,third,6,2,F,4.0,49.0,D,33.0,B,21.0,B,A,A,3,2,1,0,0.0,1.0,3.0,3.0,4.0,4.0,1.0,5,0.5541371158392435,very low
35,1,second,57,4,D,70.0,5.0,D,64.0,C,70.0,F,F,F,12,0,3,1,1.0,1.0,2.0,0.0,0.0,0.0,1.0,12,0.6432624113475177,very low
36,0,third,86,76,B,82.0,41.0,C,65.0,F,83.0,F,F,B,16,3,2,0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,19,0.6657210401891253,very low
37,0,third,13,8,F,,,,,,,,,,3,2,1,1,0.0,,,,,,0.3333333333333333,5,0.22080378250591015,very low
38,0,third,52,18,A,50.0,20.0,C,79.0,F,,,,,3,2,2,1,4.0,2.0,0.0,,,,0.8333333333333334,5,0.4930260047281324,very low
39,0,third,40,62,C,64.0,9.0,F,,,,,,,0,3,1,1,2.0,0.0,,,,,0.6666666666666666,3,0.37470449172576825,very low
40,0,third,6,7,D,59.0,34.0,F,49.0,A,75.0,A,A,C,29,17,7,0,1.0,0.0,4.0,4.0,4.0,2.0,1.0,46,0.9491725768321513,very low
41,0,first,65,56,C,11.0,7.0,F,10.0,C,66.0,C,B,F,16,24,7,0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,40,0.9108747044917257,very low
42,0,third,12,3,F,50.0,42.0,D,70.0,D,68.0,C,A,C,7,14,5,0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,21,0.7451536643026005,very low
43,0,third,90,44,A,89.0,4.0,A,47.0,A,52.0,A,B,D,10,9,5,0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,19,0.732387706855792,very low
44,1,first,44,79,A,81.0,0.0,C,43.0,F,,,,,0,3,1,1,4.0,2.0,0.0,,,,0.8333333333333334,3,0.4580378250591016,very low
45,1,third,1,87,F,76.0,46.0,B,2.0,D,23.0,C,B,D,11,4,1,1,0.0,3.0,1.0,2.0,3.0,1.0,1.0,15,0.6179669030732861,very low
46,1,third,10,45,F,,,,,,,,,,4,0,0,1,0.0,,,,,,0.3333333333333333,4,0.1921985815602837,very low
47,0,second,13,13,F,26.0,47.0,F,97.0,C,84.0,B,B,C,11,17,8,0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,28,0.856501182033097,very low
48,0,second,49,66,D,11.0,97.0,A,74.0,C,10.0,A,A,C,14,15,2,0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,29,0.7295508274231678,very low
49,1,third,59,47,C,27.0,16.0,F,,,,,,,0,2,0,1,2.0,0.0,,,,,0.6666666666666666,2,0.34609929078014184,very low
50,1,first,23,1,F,,,,,,,,,,2,1,1,1,0.0,,,,,,0.3333333333333333,3,0.20803782505910165,very low
51,0,second,5,9,F,11.0,26.0,D,34.0,D,21.0,A,A,C,2,1,2,0,0.0,1.0,1.0,4.0,4.0,2.0,1.0,3,0.5635933806146571,very low
52,1,first,54,52,D,75.0,56.0,B,41.0,A,90.0,F,C,A,14,7,3,0,1.0,3.0,4.0,0.0,2.0,4.0,1.0,21,0.700709219858156,very low
53,1,first,59,56,D,43.0,20.0,F,,,,,,,0,2,0,1,1.0,0.0,,,,,0.6666666666666666,2,0.34609929078014184,very low
54,0,first,43,69,F,8.0,68.0,D,88.0,B,53.0,B,F,D,19,20,1,0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,39,0.7711583924349882,very low
55,0,third,17,6,F,,,,,,,,,,6,0,0,1,0.0,,,,,,0.3333333333333333,6,0.2049645390070922,very low
56,1,third,95,66,F,67.0,51.0,B,31.0,A,44.0,F,B,A,8,3,2,0,0.0,3.0,4.0,0.0,3.0,4.0,1.0,11,0.6146572104018913,very low
57,1,third,52,35,A,52.0,13.0,F,,,,,,,0,0,0,1,4.0,0.0,,,,,0.6666666666666666,0,0.3333333333333333,very low
58,1,first,17,17,D,41.0,33.0,F,51.0,B,28.0,C,B,B,24,5,4,0,1.0,0.0,3.0,2.0,3.0,3.0,1.0,29,0.7739952718676123,very low
59,1,second,41,54,F,62.0,55.0,A,45.0,D,93.0,C,F,B,7,7,2,0,0.0,4.0,1.0,2.0,0.0,3.0,1.0,14,0.633806146572104,very low
60,0,third,26,71,F,20.0,30.0,A,83.0,F,,,,,3,1,1,1,0.0,4.0,0.0,,,,0.8333333333333334,4,0.4644208037825059,very low
61,0,first,46,82,B,14.0,56.0,F,16.0,C,54.0,D,F,F,6,20,6,0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,26,0.799290780141844,very low
62,0,second,2,7,A,11.0,8.0,B,40.0,B,21.0,C,F,B,0,1,1,0,4.0,3.0,3.0,2.0,0.0,3.0,1.0,1,0.5286052009456265,very low
63,1,third,44,58,F,88.0,41.0,B,57.0,B,97.0,D,A,A,15,6,5,0,0.0,3.0,3.0,1.0,4.0,4.0,1.0,21,0.7451536643026005,very low
64,0,third,3,15,A,8.0,40.0,C,29.0,D,24.0,F,A,A,2,1,2,0,4.0,2.0,1.0,0.0,4.0,4.0,1.0,3,0.5635933806146571,very low
65,0,third,24,37,B,,,,,,,,,,1,2,0,1,3.0,,,,,,0.3333333333333333,3,0.18581560283687942,very low
66,0,third,45,79,B,67.0,55.0,D,85.0,A,4.0,F,F,A,4,9,6,0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,13,0.7163120567375886,very low
67,1,third,30,59,D,17.0,30.0,F,,,,,,,2,1,1,1,1.0,0.0,,,,,0.6666666666666666,3,0.37470449172576825,very low
68,1,third,4,83,F,81.0,98.0,D,1.0,D,28.0,C,A,F,11,4,3,1,0.0,1.0,1.0,2.0,4.0,0.0,1.0,15,0.6624113475177305,very low
69,0,third,5,10,F,3.0,21.0,A,38.0,A,28.0,A,B,A,2,1,2,0,0.0,4.0,4.0,4.0,3.0,4.0,1.0,3,0.5635933806146571,very low
70,1,second,62,36,A,14.0,16.0,A,28.0,D,,,,,5,1,1,1,4.0,4.0,1.0,,,,0.8333333333333334,6,0.4771867612293144,very low
71,1,first,34,79,A,88.0,64.0,C,41.0,F,55.0,C,A,A,14,5,5,0,4.0,2.0,0.0,2.0,4.0,4.0,1.0,19,0.732387706855792,very low
72,1,second,19,57,F,43.0,33.0,C,69.0,B,60.0,A,B,A,6,19,3,0,0.0,2.0,3.0,4.0,3.0,4.0,1.0,25,0.726241134751773,very low
73,1,second,22,20,F,,,,,,,,,,3,1,1,1,0.0,,,,,,0.3333333333333333,4,0.21442080378250591,very low
74,1,third,4,3,B,13.0,22.0,B,45.0,A,27.0,C,F,A,0,2,1,0,3.0,3.0,4.0,2.0,0.0,4.0,1.0,2,0.5349881796690308,very low
75,1,second,27,48,D,80.0,94.0,B,61.0,A,1.0,B,A,C,5,1,6,0,1.0,3.0,4.0,3.0,4.0,2.0,1.0,6,0.6716312056737588,very low
76,0,third,4,6,A,5.0,55.0,B,41.0,A,25.0,B,D,B,4,3,2,0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,7,0.5891252955082742,very low
77,0,third,7,37,B,,,,,,,,,,2,2,0,1,3.0,,,,,,0.3333333333333333,4,0.1921985815602837,very low
78,0,third,6,14,F,8.0,32.0,C,34.0,B,26.0,A,C,A,1,3,2,0,0.0,2.0,3.0,4.0,2.0,4.0,1.0,4,0.5699763593380615,very low
79,1,second,88,50,A,58.0,24.0,D,7.0,F,63.0,D,C,A,16,11,5,0,4.0,1.0,0.0,1.0,2.0,4.0,1.0,27,0.783451536643026,very low
80,0,third,5,14,A,5.0,55.0,B,35.0,A,24.0,B,A,B,0,1,1,0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,1,0.5286052009456265,very low
81,1,third,6,8,B,6.0,16.0,C,25.0,B,24.0,A,B,D,0,1,2,0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,1,0.5508274231678486,very low
82,0,third,17,52,F,43.0,16.0,A,55.0,A,17.0,C,F,D,10,8,1,0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,18,0.6371158392434989,very low
83,1,second,51,41,A,64.0,4.0,F,,,,,,,1,0,1,1,4.0,0.0,,,,,0.6666666666666666,1,0.3619385342789598,very low
84,1,third,43,7,A,99.0,52.0,F,17.0,D,10.0,A,C,F,4,1,3,1,4.0,0.0,1.0,4.0,2.0,0.0,1.0,5,0.5985815602836879,very low
85,0,second,16,4,D,22.0,44.0,D,45.0,C,72.0,F,A,B,25,4,4,0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,29,0.7739952718676123,very low
86,1,third,48,3,B,66.0,71.0,F,43.0,D,55.0,A,F,D,9,5,3,0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,14,0.6560283687943262,very low
87,1,second,41,54,D,44.0,12.0,F,,,,,,,2,0,0,1,1.0,0.0,,,,,0.6666666666666666,2,0.34609929078014184,very low
88,0,third,88,54,C,84.0,74.0,A,72.0,F,88.0,D,A,A,16,10,3,0,2.0,4.0,0.0,1.0,4.0,4.0,1.0,26,0.7326241134751773,very low
89,1,first,47,15,B,68.0,67.0,B,15.0,D,,,,,8,2,0,1,3.0,3.0,1.0,,,,0.8333333333333334,10,0.4804964539007092,very low
90,1,second,31,52,D,19.0,42.0,F,,,,,,,0,1,0,1,1.0,0.0,,,,,0.6666666666666666,1,0.3397163120567376,very low
91,1,first,33,53,B,69.0,27.0,B,15.0,B,1.0,D,F,F,6,4,0,1,3.0,3.0,3.0,1.0,0.0,0.0,1.0,10,0.5638297872340425,very low
92,0,second,6,22,D,53.0,42.0,D,56.0,A,89.0,F,B,C,20,17,6,0,1.0,1.0,4.0,0.0,3.0,2.0,1.0,37,0.8695035460992908,very low
93,1,second,90,60,B,83.0,94.0,F,55.0,A,43.0,F,B,F,16,9,2,0,3.0,0.0,4.0,0.0,3.0,0.0,1.0,25,0.7040189125295507,very low
94,0,second,3,2,F,12.0,34.0,F,40.0,B,24.0,A,F,A,3,2,1,0,0.0,0.0,3.0,4.0,0.0,4.0,1.0,5,0.5541371158392435,very low
95,1,second,75,69,B,52.0,14.0,A,27.0,D,94.0,A,B,A,11,9,2,0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,20,0.6721040189125295,very low
96,0,second,3,11,A,5.0,22.0,D,33.0,D,27.0,A,C,B,1,2,1,0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,3,0.541371158392435,very low
97,1,first,21,75,C,88.0,55.0,C,28.0,A,36.0,F,D,D,4,4,1,1,2.0,2.0,4.0,0.0,1.0,1.0,1.0,8,0.5732860520094563,very low
98,1,second,73,15,B,61.0,37.0,A,89.0,F,43.0,D,B,C,13,4,3,0,3.0,4.0,0.0,1.0,3.0,2.0,1.0,17,0.675177304964539,very low
99,1,third,16,63,F,64.0,27.0,B,59.0,F,77.0,C,F,B,9,5,3,0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,14,0.6560283687943262,very low
100,1,third,84,80,A,35.0,47.0,A,42.0,D,39.0,B,F,D,14,3,0,1,4.0,4.0,1.0,3.0,0.0,1.0,1.0,17,0.6085106382978723,very low
101,1,third,4,5,A,1.0,18.0,D,29.0,B,24.0,A,A,C,3,3,1,0,4.0,1.0,3.0,4.0,4.0,2.0,1.0,6,0.5605200945626477,very low
102,1,third,32,38,D,21.0,50.0,F,,,,,,,1,0,0,1,1.0,0.0,,,,,0.6666666666666666,1,0.3397163120567376,very low
103,0,third,5,3,D,20.0,51.0,D,56.0,C,92.0,A,C,B,9,19,7,0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,28,0.8342789598108747,very low
104,0,third,15,38,D,48.0,49.0,B,90.0,D,,,,,9,3,2,1,1.0,3.0,1.0,,,,0.8333333333333334,12,0.5377068557919622,very low
105,0,third,84,78,F,81.0,86.0,D,9.0,C,91.0,B,A,D,15,7,1,0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,22,0.6626477541371159,very low
106,0,second,18,21,F,46.0,37.0,B,96.0,B,70.0,A,F,A,4,18,5,0,0.0,3.0,3.0,4.0,0.0,4.0,1.0,22,0.7515366430260048,very low
107,1,first,14,57,A,95.0,75.0,A,66.0,B,64.0,F,F,B,8,7,4,0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,15,0.6846335697399527,very low
108,0,third,13,7,F,53.0,31.0,C,98.0,C,28.0,F,C,C,28,5,7,0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,33,0.866193853427896,very low
109,1,third,82,90,D,29.0,55.0,C,6.0,A,24.0,C,A,A,5,4,1,0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,9,0.5796690307328606,very low
110,1,first,60,16,D,15.0,43.0,A,52.0,C,22.0,B,F,C,1,5,2,1,1.0,4.0,2.0,3.0,0.0,2.0,1.0,6,0.5827423167848699,very low
111,1,first,31,56,D,7.0,44.0,D,,,,,,,2,1,0,1,1.0,1.0,,,,,0.6666666666666666,3,0.35248226950354605,very low
112,1,third,27,43,C,,,,,,,,,,1,0,1,1,2.0,,,,,,0.3333333333333333,1,0.19527186761229315,very low
113,1,first,23,35,B,2.0,42.0,F,,,,,,,3,0,0,1,3.0,0.0,,,,,0.6666666666666666,3,0.35248226950354605,very low
114,1,third,92,96,A,47.0,6.0,C,21.0,D,0.0,F,D,F,3,4,0,1,4.0,2.0,1.0,0.0,1.0,0.0,1.0,7,0.5446808510638298,very low
115,0,third,3,11,F,4.0,37.0,C,26.0,D,23.0,A,A,A,2,2,1,0,0.0,2.0,1.0,4.0,4.0,4.0,1.0,4,0.5477541371158393,very low
116,1,third,95,71,A,43.0,28.0,F,57.0,A,84.0,F,F,D,15,4,4,0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,19,0.7101654846335698,very low
117,0,first,2,13,D,44.0,30.0,D,60.0,C,60.0,B,B,B,9,17,6,0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,26,0.799290780141844,very low
118,1,third,10,89,B,30.0,64.0,C,59.0,B,47.0,B,C,D,7,0,2,1,3.0,2.0,3.0,3.0,2.0,1.0,1.0,7,0.5891252955082742,very low
119,0,second,18,6,D,28.0,31.0,F,77.0,B,41.0,B,B,B,25,6,7,0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,31,0.8534278959810875,very low
120,0,first,15,16,D,55.0,47.0,B,55.0,A,79.0,C,B,C,26,18,4,0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,44,0.8697399527186761,very low
121,1,second,41,67,A,8.0,85.0,F,37.0,D,5.0,D,F,C,10,5,1,1,4.0,0.0,1.0,1.0,0.0,2.0,1.0,15,0.6179669030732861,very low
122,0,second,2,6,A,4.0,55.0,F,25.0,F,28.0,D,F,A,4,3,2,0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,7,0.5891252955082742,very low
123,0,first,3,20,D,22.0,46.0,D,70.0,F,71.0,D,C,C,15,16,8,0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,31,0.8756501182033097,very low
124,0,third,9,16,F,2.0,37.0,A,31.0,A,27.0,A,A,D,1,2,1,0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,3,0.541371158392435,very low
125,1,second,62,43,F,73.0,99.0,B,9.0,D,53.0,C,D,C,18,9,5,0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,27,0.783451536643026,very low
126,1,second,2,6,D,53.0,33.0,D,75.0,C,33.0,B,A,D,23,11,4,0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,34,0.8059101654846336,very low
127,0,third,6,14,A,1.0,41.0,D,25.0,B,29.0,B,D,C,4,1,2,0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,5,0.5763593380614657,very low
128,1,third,17,3,D,,,,,,,,,,2,0,1,1,1.0,,,,,,0.3333333333333333,2,0.20165484633569739,very low
129,0,third,90,14,D,93.0,29.0,A,77.0,D,,,,,0,0,0,1,1.0,4.0,1.0,,,,0.8333333333333334,0,0.4166666666666667,very low
130,0,third,2,10,A,6.0,46.0,A,36.0,A,23.0,D,A,B,1,3,1,0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,4,0.5477541371158393,very low
131,0,third,66,1,A,99.0,70.0,B,94.0,C,22.0,F,F,A,2,8,3,0,4.0,3.0,2.0,0.0,0.0,4.0,1.0,10,0.6304964539007092,very low
132,1,third,7,12,F,3.0,33.0,C,42.0,B,20.0,F,C,D,3,1,2,0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,4,0.5699763593380615,very low
133,1,first,8,29,F,58.0,47.0,C,50.0,F,78.0,A,D,B,12,5,5,0,0.0,2.0,0.0,4.0,1.0,3.0,1.0,17,0.7196217494089835,very low
134,1,first,62,84,C,51.0,84.0,A,36.0,C,21.0,A,B,C,8,8,5,0,2.0,4.0,2.0,4.0,3.0,2.0,1.0,16,0.7132387706855793,very low
135,0,first,66,75,D,61.0,66.0,A,,,,,,,4,4,2,1,1.0,4.0,,,,,0.6666666666666666,8,0.42884160756501183,very low
136,1,second,72,28,D,34.0,76.0,D,46.0,D,,,,,10,4,0,1,1.0,1.0,1.0,,,,0.8333333333333334,14,0.5060283687943262,very low
137,0,second,0,24,F,,,,,,,,,,0,2,0,1,0.0,,,,,,0.3333333333333333,2,0.17943262411347516,very low
138,1,third,21,77,C,50.0,55.0,B,16.0,C,97.0,C,C,F,5,9,4,0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,14,0.6782505910165485,very low
139,1,first,96,33,D,89.0,67.0,A,20.0,C,64.0,F,B,C,9,11,1,0,1.0,4.0,2.0,0.0,3.0,2.0,1.0,20,0.6498817966903073,very low
140,1,third,25,59,A,50.0,55.0,B,91.0,C,50.0,C,F,D,9,8,4,0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,17,0.6973995271867612,very low
141,1,second,57,46,D,62.0,4.0,F,,,,,,,0,1,1,1,1.0,0.0,,,,,0.6666666666666666,1,0.3619385342789598,very low
142,0,first,50,19,F,32.0,48.0,C,30.0,C,71.0,A,A,D,16,15,2,0,0.0,2.0,2.0,4.0,4.0,1.0,1.0,31,0.7423167848699763,very low
143,1,third,61,84,D,48.0,11.0,C,49.0,D,,,,,0,0,0,1,1.0,2.0,1.0,,,,0.8333333333333334,0,0.4166666666666667,very low
144,1,third,63,50,D,1.0,30.0,B,23.0,C,,,,,8,3,0,1,1.0,3.0,2.0,,,,0.8333333333333334,11,0.4868794326241135,very low
145,0,third,5,9,F,46.0,45.0,D,57.0,B,52.0,C,B,C,28,12,6,0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,40,0.8886524822695034,very low
146,1,third,53,59,D,19.0,13.0,C,44.0,D,16.0,F,F,C,8,3,0,1,1.0,2.0,1.0,0.0,0.0,2.0,1.0,11,0.5702127659574469,very low
147,0,first,3,56,B,51.0,53.0,C,18.0,A,75.0,B,A,C,8,6,5,0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,14,0.7004728132387708,very low
148,0,first,66,94,F,82.0,55.0,F,42.0,D,48.0,D,B,B,15,9,3,0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,24,0.7198581560283688,very low
149,0,first,49,86,F,28.0,7.0,D,22.0,B,27.0,F,A,C,8,4,6,0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,12,0.7099290780141844,very low
150,0,second,1,15,A,8.0,16.0,F,35.0,A,25.0,A,C,C,4,2,1,0,4.0,0.0,4.0,4.0,2.0,2.0,1.0,6,0.5605200945626477,very low
151,1,first,15,90,B,2.0,9.0,B,37.0,C,,,,,7,2,0,1,3.0,3.0,2.0,,,,0.8333333333333334,9,0.47411347517730495,very low
152,1,third,1,13,F,40.0,28.0,F,28.0,F,,,,,7,4,0,1,0.0,0.0,0.0,,,,0.8333333333333334,11,0.4868794326241135,very low
153,0,third,1,7,A,2.0,11.0,C,37.0,B,27.0,A,B,B,4,2,2,0,4.0,2.0,3.0,4.0,3.0,3.0,1.0,6,0.5827423167848699,very low
154,1,third,27,72,C,64.0,64.0,C,84.0,F,72.0,B,F,A,7,9,5,0,2.0,2.0,0.0,3.0,0.0,4.0,1.0,16,0.7132387706855793,very low
155,0,second,6,3,A,3.0,44.0,C,36.0,A,24.0,B,B,D,4,3,2,0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,7,0.5891252955082742,very low
156,0,second,75,61,A,79.0,71.0,D,79.0,D,76.0,A,D,D,17,10,5,0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,27,0.783451536643026,very low
157,1,third,3,2,A,12.0,54.0,D,41.0,D,26.0,A,F,C,0,1,1,0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,1,0.5286052009456265,very low
158,1,third,11,60,A,50.0,78.0,C,53.0,D,67.0,D,F,B,10,6,2,0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,16,0.6465721040189125,very low
159,0,second,99,44,A,81.0,18.0,D,38.0,D,77.0,C,A,A,17,10,3,0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,27,0.7390070921985815,very low
160,1,first,11,10,F,,,,,,,,,,2,0,0,1,0.0,,,,,,0.3333333333333333,2,0.17943262411347516,very low
161,1,third,42,71,B,61.0,33.0,B,46.0,D,70.0,C,F,D,13,8,5,0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,21,0.7451536643026005,very low
162,1,third,3,54,A,17.0,65.0,F,32.0,B,39.0,A,A,C,17,13,2,0,4.0,0.0,3.0,4.0,4.0,2.0,1.0,30,0.735933806146572,very low
163,0,third,5,10,A,7.0,42.0,B,37.0,B,24.0,A,C,D,3,2,2,0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,5,0.5763593380614657,very low
164,1,first,15,31,F,54.0,4.0,A,98.0,F,26.0,F,C,F,8,7,1,0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,15,0.6179669030732861,very low
